Content,Sentiment
Ăn sáng ngon,1
"Dia diem thuan tien, sach se , phong tot",1
"Tôi dang ky o khach san 5 dêm, sau 3 dêm, tôi duoc moi lên o tâng 14 theo yêu câu cua minh.Nhân viên tiêp tân hoi nghiêm. Cac bô phân khac rât vui ve, niêm no và tân tinh phuc vu cho khach !",1
"Nhân viên thân thiện, nhiệt tình và chuyên nghiệp trong tác phong",1
"Khach San moi, gan moi Phuong Tien,",1
"Vị trí gần trung tâm Hội An, chạy xe 2km là đến hoặc có thể đi bộ. Chủ nhà rất nhiệt tình tư vấn và thân thiện.",1
"Địa điểm rất đẹp, đi biển An Bàng rất gần, ra biển Cửa Đại hay đi Cù Lao Chàm cũng gần mà đạp xe vào phố cổ cũng rất nhanh. Nằm trên dãy phố mới nên rất yên tĩnh chứ không ồn ào vào buổi tối như trong phố cổ. Anh chủ rất tuyệt, cho mượn xe đạp miễn phí. Tôi rất hài lòng khi ở đây.",1
"vừa qua tôi đi công tác nghỉ ở khách sạn Qúy Hùng. Tôi thấy mọi thứ ở đây rất tốt. Từ địa điểm đến trang thiết bị khách sạn rất hiện đại, giá rẻ. Tôi sẽ quay lại đây vào những lần sau",1
"Gần trung tâm, tiện nghi",1
"phòng sang trọng, gần trung tâm bến thành, nhân viên nhẹ nhàng lại xách đồ giùm lên phòng",1
"Giuong thoai mai,dia diem rat thuan tien, nhan vien cung rat nhiet tinh nua",1
rất thú vị với chuyến đi. hi vọng sẽ ghé lần sau,1
"nhân viên phục vụ niềm nở, nhiệt tình...",1
dạo phố,1
"Vị trí thuận lợi tại trung tâm tp,nhân viên ks nhiệt tình và vui vẻ. Giá cả hơp lý.Tôi sẽ chọn ks này cho lần công tác sau..",1
"Thái độ phục vụ, phòng sạch sẽ, gọn gàng",1
"Phong cách phục vụ rất tốt, khách sạn thoáng mát. đồ dùng đầy đủ tiện nghi",1
"nhân viên nhiệt tình, khách sạn sạch sẽ, ở trung tâm thành phố thuận tiện đi lại.",1
"Khung cảnh đẹp, gần biển.",1
Dia Diem tot,1
gần chợgần phố đi bộ,1
Nhân viên nhiệt tình,1
"- đồ nội thất và giường ngủ ở đây khiến chúng tôi rất hài lòng sau chuyến đi dài- vị trí gần trung tâm, mặt đường lớn",1
Khách sạn tạm chấp nhận(vì giá 296.000đ).hotel kiểu gia đình.phòng cũng được.khu vực yên tĩnh.gần siêu thị.chỉ 1 cái là muỗi nhiều.bãi xe 2 bánh.4 bánh thì vô tư..,1
"Tôi rất thích thái độ phục vụ của hai bạn là vợ chồng chủ khách sạn, các bạn rất vui vẻ thân thiện như người nhà, Khách sạn cũng không xa trung tâm lắm đi đến Đền Bà Chúa Xứ cũng khoảng 6km ra chợ Châu Đốc cũng gần, đi lại cũng thuận tiệ. Khách sạn có phòng rộng rãi sạch sẽ, hành lang cũng có điều hòa mát mẻ khi bước ra khỏi phòng.  tôi nhớ mãi chuyến đi vừa rồi của hai mẹ con tôi, Tôi đến Châu Đốc vào ngày 2/1 về ngày 3/1 đúng dịp lễ tôi chủ quan không book xe về Sài gòn trước nên ra đến Châu Đốc mới book ngày hôm đó toàn bộ các hãng xe chất lượng cao như Phương Trang đều đã hết vé, mẹ con tôi không còn cách nào để về Sài gòn nên đành phải đi xe hãng Kim Hương, Hãng xe Kim Hương đã cho một xe ôm đến khách sạn đón mẹ con tôi trong khi tôi đi hai người cộng thêm một valy Somsinte loại 30kg vậy mà họ điều xe ôm đến đón mẹ con tôi, thật kinh khủng, may mà hai bạn vợ chồng chủ khách sạn đã đọc được suy nghĩ của tôi đang phân vân gọi xe taxi ra bến xe Kim Hương thì Bạn Chủ khách sạn đã đích thân lấy xe ô tô của nhà mình ra để đưa mẹ cọn tôi ra bến xe Kim Hương. Tôi thực sự cảm động với phong cách phục vụ rất chân tình của hai bạn vợ chồng chủ khách sạn. Tôi làm bên ngành Hàng không và là người đi du lịch rất nhiều cả trong và ngoài nước nên tôi đã trải nghiệm rất nhiều khách sạn và Resort khác nhau, tôi nhận thấy với mức giá tại khách sạn Đồng Xanh tôi ở chỉ tầm hơn 12$/ 1 phòng đôi rộng rãi, tôi thấy rất hợp lý và phù hợp với chuyến đi của tôi.",1
Sach se tien nghi,1
Nhân viên thực sự tốt bụng và nhiệt tình. Nhờ có họ giúp đỡ mà chuyến đi Hà Nội - Miền Tây của mình đã thành công tốt đẹp!,1
"Phòng rất sạch sẽ, nội thất vượt xa kỳ vọng với một khách sạn 1 sao",1
"Yên tỉnh, sạch sẽ, thoải mái",1
"Phong dep, kha moi. Chu ks vui ve, nhiet tinh.",1
Phòng mới sạch sẽ,1
"Không gian yên tĩnh, rộng rãi, khá sạch sẽ. Nhân viên nhiệt tình",1
"Khách sạn sach sẽ , nhân viên thân thiện",1
Giường êm tivi xịn máy lạnh hoạt động tốt.,1
"Phòng rất sạch sẽ, nhân viên rất thân thiện, bữa sáng rất ngon",1
"yên tĩnh, nhiệt tình, sạch sẽ",1
Trong lành,1
1 Nhan vien  nu toi ngay12.va1 nam nhan vien khuya ngay 12. Deu rat tot. Rat nhiet tinh. Va chu dong lien lac. Hoi tham khach hang.Noi chuyen lich su va le phep,1
Giường ngủ thoải mái,1
"Tôi rất thích khách sạn của bạn. Nó thật tuyệt với, nhân viên lê tân cũng như bellboy đã phục vụ chúng tôi rất chu đáo. Tôi sẽ quay lại và sẽ giới thiệu bạn bè, đồng nghiệp đến khách sạn của bạn.Chúc các bạn thành công.",1
"Sạch sẽ, đẹp, tôi vẫn sẽ lựa chọn trong kì nghỉ tới",1
Moi nguoi vui ve,1
"Ks moi, sach se",1
Phòng rộng thoáng mát. Vị trí tốt.,1
Phòng ốc sạch sẽ,1
"Phòng sạch sẽ, tiện nghi",1
Vị trí tuyệt vời,1
"Khách sạn ở trung tam nên tiện đi lại, mua sắm. Nhân viên khách sạn ân cần và nhiệm tình phục vụ khách.",1
Nhân viên thân thiện,1
than thien,1
"nhân viên nhiệt tình, thân thiện, giúp tôi đặt city tour và gọi taxi",1
Breakfast,1
"- Anh chị chủ nhà khá thân thiện, vị trí cũng ở giữa biển An Bằng và phố cổ.- Phòng sạch sẽ, thoáng mát. Nhà có cô bé Tina rất đáng yêu.- Sẽ ở tại đây nếu quay lại Hội An",1
"Phòng sạch sẽ, tiện nghi cơ bản, nhân viên lịch sự.",1
"Rất hài lòng, bạn bè của mình tới Hội An mình sẽ giới thiệu.",1
Vị trí ổn,1
"Nhân viên phục vụ nhiệt tình, vui vẻ, thân thiện. Ngay đầu ngõ có quán ăn ngon và giá cả hợp lí :)",1
"khu vực lễ tân nhìn cũng ổn, dễ thương, nhân viên lễ tân có vẻ ít cười với khách nhỉ",1
"Phòng ngủ sạch sẽ ,giường rộng . Nhân viên nhiệt tình niềm nở . Giá hợp lý",1
Thời tiết và con người rất đáng yêu.,1
Sự yên tĩnh,1
Ở vị trí trung tâm đi đâu cũng gần không cần tốn kém đi taxi nhiều. Thái độ nhân viên nhẹ nhàng từ tốn.,1
"Vị trí ngay trung tâm, tiện đi lại, giá cả phù hợp, phòng sạch sẽ, tiện nghi.",1
"Vị trí trung tâm, tiện lợi. Nhân viên nhiệt tình,vui vẻ.",1
"Phòng đẹp, sang trọng, nhân viên phục vụ nhiệt tình và thân thiện",1
Vị trí thuận tiện,1
"Dia diem thuan tien, phong kha sach se, Le tan nhiet tinh",1
"Sạch sẽ,nội thất đẹp",1
-có vườn rau trồng sau nhà-phong cảnh xung quanh nhà đẹp,1
Lịch Sự,1
"Phòng rộng, sạch sẽ, tiện nghi",1
Good for everything,1
cho o tot dep.tien duong giao thong.trong khu tay ba lo.,1
"Chủ KS rất thân thiện vui vẻ,nhân viên nhiệt tình và 2 cố vấn ks thật dễ thương...nhìn bên ngoài ks vừa nhưng phòng rất  rộng rãi,sạch sẽ...Lần sau đến SG,tôi vẫn chọn ks Crown Diamond",1
"Thức ăn và giá cả khá ổn, nhân viên bảo vệ nhiệt tình thân thiện",1
yen tinh,1
"nhân viên, phòng ốc",1
Tiện nghi,1
Giuong rong rai.,1
Vị trí khách sạn tốt: gần bãi biển Khách sạn tương đối sạch sẽ,1
"Tất nhiên là vị trí rồi. Ăn sáng thời gian thoải mái hơn 1 số nơi khác, sạch sẽ, thái độ nv phục vụ tốt",1
"Vi tri trung tam,tien nghi mua sam an uong va di lai",1
Khách sạn mà đông du sắp xếp cũng khá tốt,1
"Phòng đẹp. Tôi ở phòng giường đôi 200k/ đêm, chất lượng dịch vụ và phòng rất xứng đáng với giá 200k. Là một ks nên ở nếu bạn ít tiền. Nhân viên khách sạn rất thân thiện, còn chở tôi đi miễn phí tới văn phòng du lịch mà ko lấy tiền",1
"Thoải mái, nhiệt tình",1
Các bạn nhân viên rất thân thiện. Vị trí của khách sạn cũng rất thuận tiện để đi các điểm tham quan.,1
"Thoải mái, gần gũi như gia đình",1
Khong co thang may,1
Ko co gi de thich,1
sạch sẽ và vị trí thuận tiện,1
bữa sáng ko được ngon lắm,1
gan trung tam,1
Vị trí trung tâm,1
Không gian đep,1
Bua sang ngon. Giường ngủ rất thoải mái,1
Cô Lễ Tân tận tình và chu đáo,1
"đầy đủ mọi thứ, chủ khách sạn rất nhiệt tình!",1
thích cô hay cười nói tiếng Anh hay hay :))),1
"Cách nói chuyện của tiếp tân rất vui vẻ,đồ ăn sáng cũng được.",1
"Nhân viên tiếp tân rất tuyệt vời, thân thiện và nhiệt tình. Phục vụ tốt, nơi ở đáng đồng tiền.",1
"Vị trí thuận tiện, nhân viên nhiệt tình.",1
Địa điểm tốt,1
"Phòng mới và sạch sẽ, anh chị chủ thân thiện dễ thương, tư vấn những chỗ ăn chơi tận tình. Gần chợ",1
"Phong cảnh đẹp, thời tiết khá mát mẻ.",1
Gan trung tam,1
Khách sạn gần trung tâm thành phố nên đi lại rất tiện lợi. Chất lượng nói chung là ổn trừ một vài góp ý ở dưới.,1
ko có gì,1
Phòng rộng,1
Sach se nhan vien than thien gan trung tam,1
Nhân viên nhiệt tình. Khach sạn mơi nên sạch sẻ. Tôi sẻ quay lại một lần nữa,1
"Hotel moi nen kha sach se. Nhan vien nhiet tinh, phong rong , an sang ok",1
"Tôi đã đến đây và rất thoãi mái cho kì nghĩ của mình .....! Giá cả phải chăng , dịch vụ rất ok ...! Tôi rất hài lòng , nếu có dịp đến đà lạt một lần nữa tôi vẫn chọn nơi đây ....",1
Giá tạm ổn với kiểu dân phượt tụi mình,1
NV dễ thương,1
Tạm thôi,1
"Nước mạnh, máy nước nóng tốt",1
OK,1
Vị trí trung tam,1
Nhân viên lịch sự,1
không gian resort tuyet vời,1
"Đồ ăn ở nhà hàng khá ngon, đáng với số tiền bỏ ra. nhân viên niềm nở thân thiện.",1
nhaan viên nhiệt tình,1
Chúng tôi đã được upgrade lên hạng phòng executive có view hồ nước rất tuyệt. Vì chúng tôi có em bé nên được cung cấp cũi cho bé ngủ rất thoải mái,1
Tất cả đều tốt,1
"Không gian, tiện nghi",1
Vị trí của khách sạn thuận lợi.,1
"bua an sang ngon , thay doi khac vi moi ngay",1
Ko thích j cả,1
"Giường êm, nhân viên cực kỳ nhiệt tình, địa điểm gần sông Hương và cầu Tràng Tiền",1
"Nhân viên nhiệt tình, tiếp đón tốt, vị trí gần các điểm ăn uống, tham quan. Tiện nghi phòng đầy đủ, có máy sấy, laptop trong phòng cho khách sử dụng. Phòng sạch sẽ.",1
"Khách sạn gần trung tâm, lại nằm lùi vào hẻm nên mở cửa sổ vẫn rất yên tĩnh, không gian dễ chịu. Nhân viên rất nhiệt tình, phòng sạch sẽ, bữa sáng ngon lành.",1
"Nhân viên rất nhiệt tình và thân thiện, sẵn sàng hỗ trợ hết mình khi khách có yêu cầu, những dịch vụ kèm theo như xe đưa đón sân bay, xe máy giá cả phải chăng và chu đáo.",1
Tiện nghi đầy đủNhân viên vô cùng thân thiệnTôi sẽ quay lại nghỉ tại đây nếu còn tới Huế ;),1
"Hotel nằm gần cầu Trường Tiền và một số địa điểm đẹp, thuận tiện đi lại!!!",1
Nhân viên nhiệt tình. Vị trí thuận tiện.,1
Rat thich cac em nhan vien cua khach san,1
Cung cách phục vụ tốtĂn sáng hợp lý,1
phòng ốc sạch sẽ. nhân viên nhiệt tình. chúng tôi đ bữa đến lúc 10 sáng và đã dc ăn sang miễn phí.,1
"Gia đình chúng tôi gồm 2 vợ chồng cùng 2 con lớn ( 8 & 14 tuổi ) lưu lại đây 03 đêm không liên tục vào dip nghỉ lế mùng 2 tháng 9 vừa qua,khách sạn ở ngay khu vực trung tâm thành phố rất thuận tiện cho việc đi lại , mua sắm , thăm quan.Khách sạn tuy nhỏ nhưng rất sạch sẽ , ăn sáng ngon , nhân viên rất thân thiện , chu đáo , giá cả hợp lý ,giữ đồ miến phí cho khách khi khách đi tour du lịch ngắn ngày . Nhất định tôi sẽ quay lại hay giới thiệu cho bạn bè , người thân khi có dip vào Sài Gòn.",1
"Gia dinh toi co mot ky nghi tai khach san Green Suites 03 dem ngat quang trong dip 02/9/2014 ,khach san lam o gan khu trung tam rat thuan tien cho viec tham quan , an uong , mua sam. Nhan vien than thien , nhiet tinh , phong oc rong rai , rat sach , gia ca re , an sang ngon va giu do mien phi. Nhat dinh se quay lai khi den Sai Gon.",1
"Nhân viên rất thân thiện, nhiệt tìnhBữa sáng ngonVị trí thuận tiện nhưng yên tĩnhĐặt tour ở khách sạn tốt",1
"Ks rat tot va sach se .Co nhung ks 3 sao o moi noi khong bang,Nhan vien phuc vu rat tot.khi nao co diep tro lai Hue toi se ks nay va se gioi thieu Cung ban be.",1
"Nhân viên rất thân thiện, hỗ trợ tốt.Thiết bị vệ sinh, nhà tắm tiện nghi, rất tốt",1
Bua an sang rat tuyet voi,1
"Khách san Sạch , Đẹp , An toàn và nhất là sự Phục Vụ Ân cần , Niềm nở , Tận tâm của đội ngủ nhân viên",1
"Villa có vườn rất đẹp, không gian xanh và trong lành. Nhân viên rất thân thiện và giới thiệu cho chúng tôi nhiều điều thú vị. Ở đây có cung cấp xe đạp (miễn phí) và dịch vụ thuê xe máy. Villa ở vị trí trung tâm, gần nhiều địa điểm ăn uống ngon",1
"Phòng view đẹp, bữa sáng đa dạng nhiều lựa chọn.",1
"Khuôn viên villa, vị trí",1
"Vị trí không xa trung tâm lắm, chỉ cần thuê một chiếc xe máy bạn có thể vi vu lượn cả Đà Lạt. Mình sẽ quay lại vào lần sau.",1
"Dia diem tot. Gia phai chang. Nhan vien rat than thien, phuc vu tot, biet ranh ve thanh pho  va huong dan khach hang den cho tham vien thanh pho rat tot.",1
"Giá rẻ, gần trung tâm",1
"Nhân viên phục vụ nhiệt tình, chu đáo, lễ phép.",1
"Nhân viên phục vụ rất nhiệt tình, địa điểm tốt gần trung tâm, bữa ăn sáng khá tốt",1
Khá gần bến thành & bùi viện nếu chạy xe máy.,1
Nhan vien than thien,1
Giường rât thỏa mái,1
"Vui ve , thoải  mái, giá cả ok",1
Phòng rộng rãi,1
"Phòng nhỏ, hôi hám, nhân viên ko nhiệt tình, ko có trách nhiệm. Được cái địa điểm ở quận 1 gần trung tâm.",1
ngay trung tâm,1
Vị trí thuận tiện.,1
Không có gì để thích cả,1
Gần công viên 29/3 quận 1 và giá hợp lý.,1
"Phòng thoáng, sạch sẽ. Khách sạn ở khu Trung tâm rất tuyệt",1
"vị trí thuận tiện, giá rẻ, nhân viên nhiệt tình",1
"Vị trí gần trung tâm, đi lại thuận tiện, nằm trên phố tây, có thể dễ dàng tìm thấy các dịch vụ giải trí, ăn uống giá cả hợp lý.",1
Nhân viên nhiệt tình,1
Địa điểm tốt,1
"Sạch sẽ, an ninh",1
"Tuyệt vời!!!!  Nhân viên thân thiện, phòng đẹp, sạch sẽ, bữa sáng ngon, đi lại thuận tiện... Chắc chắn sẽ quay lại nếu có cơ hội",1
"Cô chủ rất nhiệt tình và cực kì dễ thương. Cô giới thiệu những địa điểm và món ăn ngon của Hà Nội. Thậm chí cô còn giới thiệu mùa nào nên đến Hà Nội, dặn nhớ giữ ấm khi tôi và bạn chào tạm biệt đi Sapa.",1
Phuc vu massage,1
"Phòng rộng, sạch sẽ, tiện nghi tốt",1
"Nhân viên rất thân thiện , phục vụ tốt !Phòng rất là sạch sẽ và ấm cúng ! Có tầm nhìn ra thành phố rất đẹp.Bữa sáng có rất nhiều món ngon để lựa chọn .Vị trí trung tâm chỉ khoảng 1 phút là tới chợ Bến Thành , trung tâm mua sắm....Đối diện khách sạn là Street Food Market , có rất nhiều món ngon để lựa chọn !",1
phuc vu rat tot,1
Có cho thuê xe máy,1
phòng tốt.,1
"Giọng thoải mái, sạch sẽ, nhân viên thân thiện",1
Lễ tân và cô chủ rất thân thiện,1
Dia diem tai trung tam thanh pho,1
Dia diem tuyet voi,1
"Vị trí trung tâm, phòng rộng rãi, sạch sẽ, lễ tân nhiệt tình, bữa sáng ngon miệng.",1
"Vị trí đẹp và rất thuận tiện. Khách sạn kiến trúc cổ thời Pháp (150 năm), rất đẹp.",1
Vị trí đẹp,1
Dat,1
"Phòng sạch đẹp, vị trí thuận tiện, ăn sáng ngon. Nhân viên thân thiện, giá phòng hợp lý",1
wifi tot,1
View đẹp :3. Phục vụ nhiệt tình,1
"Nhân viên nhiệt tình, thân thiện, chu đáo, mình quên cmnd ở nhà nghỉ lại được nhận lại ngay tận nhà, quá good!",1
"- Nice staff, he quite old but always smile with us and he had good attitude. We are satisfied with this hotel.- Near beach, around 100 meter by walking. - Cleaning room with balcony.- Good price.We will come back when we have change.",1
"Phòng đẹp, sạch sẽ. Chủ Hotel tốt bụng, dễ thương. Nếu bạn muốn qua đêm ở Long Hải thì không còn đâu thích hợp hơn đây :D",1
Tốt. Thân thiện. Mọi người trong khách sạn điều nhiệt tình,1
"Nhân viên rất thân thiện và niềm nở, nhiệt tình, thoải mái. Đặt biệt giữ chữ tín và giá cả cũng phải chăng",1
Tâm biênAn hai san,1
"Phòng rộng, sạch sẽ, anh chủ dễ thương",1
"Khách sạn Tulip rất đẹp, nhìn bên ngoài rất sang trọng.Khách sạn 2 sao nhưng tôi cứ tưởng mình đang ở khách sạn 5 sao, từ trang thiết bị trong phòng cho đến phục vụ của nhân viên tại đây.Vị trí ngay tại trung tâm nên đi lại rất dễ dang. Nếu có lần sau đến Đà Lạt, chắc chắn tôi sẽ chon Tulip. giá cả phải chăng mà phục vụ như khách sạn 5 sao.",1
"Nhân viên phục vụ vô cùng lịch sự và thân thiện, chúng tôi nhận được trọn vẹn niềm vui cũng như sự hiếu khách của Đà Lạt từ đội ngũ nhân viên của Tulip Hotel. Rất cảm ơn các bạn!",1
"Nhân viên thân thiện, phòng ở tốt",1
Khach san gan cho dalat nen buoi toi rat tien de di bo dao quanh cho dalat ho xuan huong,1
"Khách sạn Tulip gần chợ, vị trí thuận tiên đi lại ngay trung tâm thành phố. Đối diện khách sạn là 1 nhà hàng-tiệm bánh lớn, thuận tiện ăn uống. Nhân viên phục vụ nhiệt tình, phòng rất đẹp, tôi rất thích ở đây. Nhất định dịp sau đến Đà Lạt tôi sẽ quay lại đây để ở.",1
"Địa điểm trung tâm, đi lại thuận tiện. Xung quanh có một số hàng ăn, tuy không thực sự xuất sắc nhưng có thể giải quyết cơn đói tức thì. Ngoài ra, nhà vệ sinh và phòng tắm sạch sẽ.",1
"minh o lai day cong tac 1 ngay, thay khach san kha thoai mai, tien nghi, nhung wifi o day kha chap chon, ban ngay thi rat nhanh, den toi thi kha cham. Noi chung minh se quay lai neu co dip",1
"_ Địa điểm gần chợ trung tâm, thuận tiện đi lại_ Nhân viên nhiệt tình_ Đáng giá tiền_ Sạch sẽ, vòi sen nước nóng khá tốt",1
"Phong ốc sạch sẽ, tiện nghi. Nhân viên phục vụ chu đáo, ân cần, và rất nhiệt tình. vì khách sạn gần trung tâm nên di chuyển tới chợ khá thuận tiện, nếu đến Đà Lạt, tôi nhất định chọn Tulip",1
"Vị trí không thể thuận tiện hơn để tham quan khu vực trung tâm Đà Lạt, gần chợ trung tâm, đối diện có cửa hàng bánh rất ngon và rẻ. Ngoài ra, cuối đường còn có quán bánh mì heo quay ăn rất thú vị. Rất tuyệt so với chi phí.",1
Thuận tiện ra chợ Đà lạt và các khu vực xung quanh nó.,1
"Tới đà lạt vào sáng sớm và ks đã cho nhận phòng nghỉ ngơi ngay mà không thu thêm tiền. Nhân viên cực kỳ nhiệt tình, lịch sự, vui vẻ",1
"Mọi thứ đều tuyệt. Từ boss đến nhân viên đều rất thân thiện và phục vụ tận tình. Ai muốn ăn ún hay mua đồ ở đâu cứ hỏi boss ở đó (women),cô sẽ giúp đỡ hết sức mình",1
"Thái độ phục vụ của nhân viên, giá phòng hợp lý",1
"Chỗ ở tốt, địa điểm thuận tiện cho việc đi lại thăm thú Đà Lạt.",1
THAI DO PHUC VU TOT,1
Tot va sach se,1
"Sạch sẽ, ngăn nắp, địa điểm tuyệt vời",1
"Khách sạn đẹp, nhân viên nhiệt tình. Có dịp sẽ đặt ở Tulip nữa.",1
"Vị trí đẹp, trung tâm. Nhân viên nhẹ nhàng, thân thiện.",1
"Không khí mát mẻ, cuộc sống thư thái",1
Địa điểm ngay trung tâm. Nhân viên vui vẻ nhiệt tình.,1
"Đội ngủ nhân viên rất tốt, nhiệt tình, rất thích",1
"Khách sạn sạch đẹpGần chợ , gần nhà hàng ăn uốngMọi thứ đều tốt",1
"Gan cho, thuan tien di lai, vui choi",1
Thái độ phục vụ,1
Phong cảnh và không khí trong lành nơi đây,1
"Vị trí thuận lợi, sát chợ Đà Lạt. Nhân viên lễ tân lịch sự, chu đáo.",1
không thích điều gì,1
"ks có địa điểm thuận lợi, trung tâm để đi chợ, đi dạo hồ",1
Địa điểm thuận lợi,1
rất gần chợ,1
"Sạch sẽ, đầy đủ tiện nghi, nhân viên rất thân thiện, địa điểm sát trung tâm.",1
Địa điểm,1
Nhân viên ở đây cực kỳ thân thiện và dễ thương.Khách sạn sạch sẽ,1
"Phong sach se, nuoc nong thoai mai",1
"Vị trí thuận tiện. Thuê xe hộ, xe chất lượng tốt, giá phải chăng. Tương đối linh động trong phục vụ.",1
"Nhân viên nhiệt tình, không gian tốt.",1
Cô chủ rất nhiệt tình và chu đáo.Tiếp chuyện rất vui vẻ hòa đồng và nhiệt tình chỉ những địa điểm ăn uống ngon rẻ tại thành phố du lịch đắt đỏ này :),1
"Nệm hơi cứng nhưng nói chung phòng rất sạch sẽ, máy lạnh; quạt gió; ti vi; máy nước nóng hoạt động tốt, chị chủ khá thân thiện, có thang máy. Lần sau có ra VT vẫn sẽ book phòng ở đây :D",1
Phòng khá yên tĩnh,1
Thái độ tiếp khách hàng của nơi này rất tốt. Phòng nhìn ra ngoài từ cửa sổ rất đẹp.,1
"Nơi nghỉ sạch sẽ, tiện lợi ăn uống.",1
tien loi gia re,1
thoải mái và tận tình với khách,1
Khong gian thoang...am ap,1
Giá phòng phù hợp,1
"voi gia trung binh thi phong oc, vat dung, tien nghi kha ok.",1
"Phòng sach se, cô chủ rất thân thiện, vị trí trong trung tâm nhưng không ồn ào va đặc biệt là giá rất ok",1
"Phòng rộng rãi, sạch sẽ.",1
"Phòng sạch sẽ, sáng sủa, có chỗ để xe rộng rãi.",1
Nội thất mới. Phòng sạch sẽ.,1
"Thoai mai, sach se",1
Yên tĩnh...sạch sẽ..thoải mái.nv tiếp tân luôn vui vẻ.,1
